Time,PositionX,PositionY,PositionZ,Speed,SteeringAngle
6.184812,477.1833,41.69104,234.7109,4.494336,0.0004848381
6.2,477.1833,41.69104,234.7109,4.494336,0.03348692
6.22,477.1894,41.68342,234.8003,4.52179,0.03631101
6.24,477.1955,41.67569,234.8902,4.549259,0.03846584
6.26,477.2016,41.66788,234.9806,4.57672,0.04029959
6.28,477.2078,41.65999,235.0715,4.604178,0.04169999
6.293418,477.2139,41.65203,235.1629,4.631633,0.001940239
6.3,477.2139,41.65203,235.1629,4.631633,0.04292518
6.32,477.2202,41.64402,235.2549,4.659081,0.04390208
6.34,477.2264,41.63596,235.3474,4.686533,0.04466735
6.351573,477.2328,41.62786,235.4404,4.71398,0.002820507
6.36,477.2328,41.62786,235.4404,4.71398,0.04527032
6.38,477.2393,41.61953,235.5339,4.742029,0.05473004
6.4,477.2458,41.61081,235.6278,4.771728,0.05914516
6.42,477.2523,41.60174,235.7223,4.802359,0.0580309
6.44,477.2587,41.59235,235.8175,4.833147,0.05719285
6.46,477.2652,41.58271,235.9132,4.863806,0.05665356
6.460841,477.2718,41.57288,236.0095,4.8944,0.002208156
6.48,477.2718,41.57288,236.0095,4.8944,0.05547518
6.5,477.2784,41.56286,236.1065,4.92499,0.05468453
6.518464,477.285,41.55269,236.204,4.955578,0.002135878
6.52,477.285,41.55269,236.204,4.955578,0.05405416
6.54,477.2917,41.5424,236.3022,4.986165,0.05352142
6.56,477.2984,41.53199,236.4009,5.01675,0.05312662
6.58,477.3051,41.52189,236.5004,5.048752,0.05145195
6.6,477.312,41.51162,236.6003,5.073813,0.05466675
6.62,477.3189,41.50114,236.7013,5.124439,0.04655781
6.628303,477.3257,41.49065,236.8009,5.079309,0.001212366
6.64,477.3257,41.49065,236.8009,5.079309,0.07846657
6.66,477.3329,41.47971,236.9063,5.302856,0.006963656
6.68,477.3398,41.46883,237.0088,5.210574,0.06282049
6.685141,477.3468,41.45795,237.1109,5.202508,0.001013264
6.7,477.3468,41.45795,237.1109,5.202508,0.07625016
6.72,477.3539,41.44679,237.2164,5.337388,0.02774558
6.74,477.3609,41.43581,237.3188,5.23237,0.0910674
6.76,477.368,41.42469,237.4242,5.346011,0.04613244
6.78,477.3753,41.41343,237.5288,5.326881,0.07682481
